GOID	pValCorr
0048167	0.0014
0007270	0.0039
0048168	0.0062
0045837	0.0063
0035235	0.014
0060078	0.018
0006414	0.021
0050806	0.023
0050808	0.024
0008344	0.026
0060079	0.031
0097090	0.034
0051650	0.036
0035249	0.036
0050685	0.036
0051648	0.039
0045454	0.04
0061001	0.04
0050770	0.041
1903313	0.041
2000463	0.041
0022900	0.042
0042775	0.042
0051899	0.043
0007628	0.043
0007416	0.043
0022904	0.044
0006626	0.045
0021885	0.047
0007015	0.048
0097105	0.049
